DateTime,Load
1398/01/01 H1,352.862799
1398/01/01 H2,330.444853
1398/01/01 H3,287.419792
1398/01/01 H4,258.110368
1398/01/01 H5,247.745866
1398/01/01 H6,244.271208
1398/01/01 H7,229.100717
1398/01/01 H8,233.132818
1398/01/01 H9,246.405548
1398/01/01 H10,258.188064
1398/01/01 H11,261.906256
1398/01/01 H12,261.363531
1398/01/01 H13,262.102739
1398/01/01 H14,258.465243
1398/01/01 H15,253.590533
1398/01/01 H16,250.881819
1398/01/01 H17,252.478455
1398/01/01 H18,262.677871
1398/01/01 H19,308.342879
1398/01/01 H20,353.425668
1398/01/01 H21,349.657782
1398/01/01 H22,340.482388
1398/01/01 H23,328.756546
1398/01/01 H24,312.98378
1398/01/02 H1,0.0
1398/01/02 H2,284.991214
1398/01/02 H3,258.781497
1398/01/02 H4,244.201686
1398/01/02 H5,237.131604
1398/01/02 H6,234.919885
1398/01/02 H7,234.144943
1398/01/02 H8,220.021133
1398/01/02 H9,222.203885
1398/01/02 H10,236.920033
1398/01/02 H11,254.979103
1398/01/02 H12,261.972229
1398/01/02 H13,261.966304
1398/01/02 H14,260.572373
1398/01/02 H15,256.31426
1398/01/02 H16,250.744197
1398/01/02 H17,249.091429
1398/01/02 H18,252.487166
1398/01/02 H19,264.45497
1398/01/02 H20,310.706994
1398/01/02 H21,354.066277
1398/01/02 H22,346.597626
1398/01/02 H23,336.44796
1398/01/02 H24,326.021982
1398/01/03 H1,310.241183
1398/01/03 H2,281.797067
1398/01/03 H3,255.97735
1398/01/03 H4,243.037231
1398/01/03 H5,236.271827
1398/01/03 H6,234.160872
1398/01/03 H7,232.413832
1398/01/03 H8,218.514343
1398/01/03 H9,224.026956
1398/01/03 H10,240.113514
1398/01/03 H11,260.183256
1398/01/03 H12,268.992421
1398/01/03 H13,268.803404
1398/01/03 H14,265.408186
1398/01/03 H15,259.367808
1398/01/03 H16,255.651294
1398/01/03 H17,253.273385
1398/01/03 H18,256.929455
1398/01/03 H19,270.384272
1398/01/03 H20,317.474067
1398/01/03 H21,357.283295
1398/01/03 H22,347.970499
1398/01/03 H23,338.24281
1398/01/03 H24,327.67467
1398/01/04 H1,311.458844
1398/01/04 H2,283.47691
1398/01/04 H3,258.636929
1398/01/04 H4,243.928005
1398/01/04 H5,238.417778
1398/01/04 H6,236.886554
1398/01/04 H7,235.979316
1398/01/04 H8,222.913645
1398/01/04 H9,227.339532
1398/01/04 H10,244.306163
1398/01/04 H11,269.913512
1398/01/04 H12,286.946469
1398/01/04 H13,291.923842
1398/01/04 H14,291.996374
1398/01/04 H15,285.399213
1398/01/04 H16,280.544224
1398/01/04 H17,282.742092
1398/01/04 H18,291.741434
1398/01/04 H19,311.757173
1398/01/04 H20,343.890172
1398/01/04 H21,363.898218
1398/01/04 H22,353.010112
1398/01/04 H23,342.976597
