DateTime,Load
1399/01/01 H1,332.225592
1399/01/01 H2,293.629987
1399/01/01 H3,270.676934
1399/01/01 H4,257.422705
1399/01/01 H5,251.297987
1399/01/01 H6,251.346972
1399/01/01 H7,252.655187
1399/01/01 H8,271.117248
1399/01/01 H9,268.312814
1399/01/01 H10,268.093113
1399/01/01 H11,268.531718
1399/01/01 H12,271.740795
1399/01/01 H13,273.115915
1399/01/01 H14,269.078926
1399/01/01 H15,264.087809
1399/01/01 H16,259.634645
1399/01/01 H17,261.010659
1399/01/01 H18,273.022014
1399/01/01 H19,324.135478
1399/01/01 H20,370.561306
1399/01/01 H21,366.996481
1399/01/01 H22,359.17239
1399/01/01 H23,346.49974
1399/01/01 H24,330.275913
1399/01/02 H1,0.0
1399/01/02 H2,301.096898
1399/01/02 H3,271.976124
1399/01/02 H4,251.554133
1399/01/02 H5,243.368423
1399/01/02 H6,240.342532
1399/01/02 H7,238.899208
1399/01/02 H8,223.457436
1399/01/02 H9,223.638878
1399/01/02 H10,236.531683
1399/01/02 H11,255.857995
1399/01/02 H12,277.111686
1399/01/02 H13,289.572933
1399/01/02 H14,289.779262
1399/01/02 H15,283.863232
1399/01/02 H16,275.625822
1399/01/02 H17,273.946091
1399/01/02 H18,284.141276
1399/01/02 H19,303.623028
1399/01/02 H20,347.234615
1399/01/02 H21,376.055018
1399/01/02 H22,368.623986
1399/01/02 H23,360.323828
1399/01/02 H24,347.552726
1399/01/03 H1,328.78504
1399/01/03 H2,292.767255
1399/01/03 H3,265.256447
1399/01/03 H4,250.613287
1399/01/03 H5,243.693535
1399/01/03 H6,241.377017
1399/01/03 H7,240.229356
1399/01/03 H8,227.083967
1399/01/03 H9,227.918142
1399/01/03 H10,240.872153
1399/01/03 H11,263.135375
1399/01/03 H12,282.205832
1399/01/03 H13,292.862037
1399/01/03 H14,296.513897
1399/01/03 H15,293.234787
1399/01/03 H16,288.415705
1399/01/03 H17,289.691747
1399/01/03 H18,301.00598
1399/01/03 H19,318.927523
1399/01/03 H20,355.226577
1399/01/03 H21,378.861434
1399/01/03 H22,372.044365
1399/01/03 H23,359.860745
1399/01/03 H24,349.210697
1399/01/04 H1,326.257232
1399/01/04 H2,287.925826
1399/01/04 H3,257.27615
1399/01/04 H4,241.221121
1399/01/04 H5,232.882534
1399/01/04 H6,226.859475
1399/01/04 H7,227.252909
1399/01/04 H8,213.525426
1399/01/04 H9,213.663309
1399/01/04 H10,227.933169
1399/01/04 H11,248.200237
1399/01/04 H12,272.280625
1399/01/04 H13,287.926364
1399/01/04 H14,292.900457
1399/01/04 H15,289.354021
1399/01/04 H16,282.827762
1399/01/04 H17,283.78925
1399/01/04 H18,291.767457
1399/01/04 H19,308.952931
1399/01/04 H20,352.417558
1399/01/04 H21,383.988299
1399/01/04 H22,377.101776
1399/01/04 H23,363.679691
1399/01/04 H24,351.889402
1399/01/05 H1,328.39413
1399/01/05 H2,292.154734
1399/01/05 H3,267.144242
1399/01/05 H4,253.101198
1399/01/05 H5,245.734817
1399/01/05 H6,243.540133
1399/01/05 H7,243.75963
1399/01/05 H8,231.757862
1399/01/05 H9,236.926217
1399/01/05 H10,251.911438
1399/01/05 H11,272.704118
1399/01/05 H12,291.603405
1399/01/05 H13,300.361643
1399/01/05 H14,298.827669
1399/01/05 H15,294.302228
1399/01/05 H16,286.647034
1399/01/05 H17,286.368798
1399/01/05 H18,291.568038
1399/01/05 H19,302.752438
1399/01/05 H20,348.522574
1399/01/05 H21,389.563461
1399/01/05 H22,382.92225
1399/01/05 H23,368.431033
1399/01/05 H24,356.806854
1399/01/06 H1,336.594207
1399/01/06 H2,298.97576
1399/01/06 H3,271.8023
1399/01/06 H4,257.40516
1399/01/06 H5,249.140507
1399/01/06 H6,247.799642
1399/01/06 H7,245.360932
1399/01/06 H8,235.4328
1399/01/06 H9,240.990805
1399/01/06 H10,256.278246
1399/01/06 H11,277.246037
1399/01/06 H12,296.653055
1399/01/06 H13,307.615039
1399/01/06 H14,306.303097
1399/01/06 H15,298.733994
1399/01/06 H16,290.691749
1399/01/06 H17,288.385821
1399/01/06 H18,289.748798
1399/01/06 H19,304.067749
1399/01/06 H20,353.276931
1399/01/06 H21,392.22405
1399/01/06 H22,386.272713
1399/01/06 H23,372.621323
1399/01/06 H24,358.870767
1399/01/07 H1,337.476494
1399/01/07 H2,299.07094
1399/01/07 H3,270.866999
1399/01/07 H4,258.192951
1399/01/07 H5,251.799716
1399/01/07 H6,250.273773
1399/01/07 H7,250.314615
1399/01/07 H8,237.610361
1399/01/07 H9,244.833417
1399/01/07 H10,260.301239
1399/01/07 H11,278.734711
1399/01/07 H12,297.921081
1399/01/07 H13,307.583407
1399/01/07 H14,307.731679
1399/01/07 H15,305.490805
1399/01/07 H16,300.869156
1399/01/07 H17,301.564868
1399/01/07 H18,312.573243
1399/01/07 H19,330.976193
1399/01/07 H20,369.454302
1399/01/07 H21,393.250826
1399/01/07 H22,384.56864
1399/01/07 H23,370.301504
1399/01/07 H24,358.526674
1399/01/08 H1,338.2402
1399/01/08 H2,302.743079
1399/01/08 H3,274.992945
1399/01/08 H4,259.91612
1399/01/08 H5,252.528547
1399/01/08 H6,249.731895
1399/01/08 H7,247.896428
1399/01/08 H8,232.941754
1399/01/08 H9,233.759217
1399/01/08 H10,246.323475
1399/01/08 H11,265.382736
1399/01/08 H12,284.346734
1399/01/08 H13,297.33427
1399/01/08 H14,298.553253
1399/01/08 H15,294.728129
1399/01/08 H16,286.199376
1399/01/08 H17,286.476949
1399/01/08 H18,296.017355
1399/01/08 H19,308.937073
1399/01/08 H20,351.539448
1399/01/08 H21,387.926807
1399/01/08 H22,383.00904
1399/01/08 H23,369.341984
1399/01/08 H24,358.608678
1399/01/09 H1,333.266582
1399/01/09 H2,297.349766
1399/01/09 H3,272.270611
1399/01/09 H4,258.823831
1399/01/09 H5,252.288559
1399/01/09 H6,250.751225
1399/01/09 H7,249.458278
1399/01/09 H8,238.204728
1399/01/09 H9,245.732766
1399/01/09 H10,261.980723
1399/01/09 H11,282.481706
1399/01/09 H12,305.741539
1399/01/09 H13,322.066013
1399/01/09 H14,322.588498
1399/01/09 H15,316.968716
1399/01/09 H16,309.330162
1399/01/09 H17,308.150088
1399/01/09 H18,316.06019
1399/01/09 H19,333.951311
1399/01/09 H20,369.033285
1399/01/09 H21,396.66592
1399/01/09 H22,389.014886
1399/01/09 H23,372.902645
1399/01/09 H24,361.625443
1399/01/10 H1,340.28765
1399/01/10 H2,303.055371
1399/01/10 H3,275.725846
1399/01/10 H4,262.0659
1399/01/10 H5,255.049003
1399/01/10 H6,252.572751
1399/01/10 H7,251.457283
1399/01/10 H8,241.577663
1399/01/10 H9,249.164842
1399/01/10 H10,264.918608
1399/01/10 H11,285.254533
1399/01/10 H12,304.600711
1399/01/10 H13,316.228033
1399/01/10 H14,312.41244
1399/01/10 H15,308.093885
1399/01/10 H16,299.475644
1399/01/10 H17,297.029003
1399/01/10 H18,300.624108
1399/01/10 H19,309.451754
1399/01/10 H20,345.130824
1399/01/10 H21,395.27475
1399/01/10 H22,390.055135
1399/01/10 H23,373.952117
1399/01/10 H24,362.661118
1399/01/11 H1,340.157088
1399/01/11 H2,303.158384
1399/01/11 H3,275.328687
1399/01/11 H4,261.267841
1399/01/11 H5,254.331721
1399/01/11 H6,252.793517
1399/01/11 H7,251.574638
1399/01/11 H8,239.864111
1399/01/11 H9,248.430278
1399/01/11 H10,266.20397
1399/01/11 H11,285.240856
1399/01/11 H12,303.530488
1399/01/11 H13,314.59015
1399/01/11 H14,311.338657
1399/01/11 H15,306.73141
1399/01/11 H16,300.905167
1399/01/11 H17,302.74861
1399/01/11 H18,310.444423
1399/01/11 H19,325.985877
1399/01/11 H20,363.566473
1399/01/11 H21,392.055235
1399/01/11 H22,384.618141
1399/01/11 H23,368.026553
1399/01/11 H24,356.68206
1399/01/12 H1,334.224758
1399/01/12 H2,299.204808
1399/01/12 H3,273.904984
1399/01/12 H4,260.685722
1399/01/12 H5,253.548243
1399/01/12 H6,251.384594
1399/01/12 H7,249.129877
1399/01/12 H8,235.225024
1399/01/12 H9,240.582697
1399/01/12 H10,257.755903
1399/01/12 H11,277.245489
1399/01/12 H12,296.700781
1399/01/12 H13,306.469314
1399/01/12 H14,304.996502
1399/01/12 H15,301.338466
1399/01/12 H16,297.032796
1399/01/12 H17,297.178931
1399/01/12 H18,300.01077
1399/01/12 H19,307.086088
1399/01/12 H20,346.782495
1399/01/12 H21,393.243254
1399/01/12 H22,388.600776
1399/01/12 H23,374.835206
1399/01/12 H24,362.387795
1399/01/13 H1,340.726264
1399/01/13 H2,305.011166
1399/01/13 H3,277.894348
1399/01/13 H4,263.186145
1399/01/13 H5,254.276957
1399/01/13 H6,250.973783
1399/01/13 H7,247.281667
1399/01/13 H8,231.997253
1399/01/13 H9,232.99166
1399/01/13 H10,243.566542
1399/01/13 H11,261.11016
1399/01/13 H12,276.091699
1399/01/13 H13,286.141232
1399/01/13 H14,287.010539
1399/01/13 H15,281.476734
1399/01/13 H16,276.984981
1399/01/13 H17,281.601983
1399/01/13 H18,282.041757
1399/01/13 H19,290.327686
1399/01/13 H20,325.588727
1399/01/13 H21,371.870459
1399/01/13 H22,370.544636
1399/01/13 H23,359.221801
1399/01/13 H24,348.305422
1399/01/14 H1,321.485897
1399/01/14 H2,284.274679
1399/01/14 H3,263.392751
1399/01/14 H4,250.959659
1399/01/14 H5,244.256522
1399/01/14 H6,243.493135
1399/01/14 H7,242.461134
1399/01/14 H8,231.611879
1399/01/14 H9,240.128009
1399/01/14 H10,257.965317
1399/01/14 H11,279.276478
1399/01/14 H12,299.047886
1399/01/14 H13,311.44235
1399/01/14 H14,308.023855
1399/01/14 H15,303.5973
1399/01/14 H16,297.939353
1399/01/14 H17,296.797152
1399/01/14 H18,299.144857
1399/01/14 H19,303.862626
1399/01/14 H20,342.926391
1399/01/14 H21,394.193968
1399/01/14 H22,390.136195
1399/01/14 H23,374.89159
1399/01/14 H24,361.445755
1399/01/15 H1,337.58
1399/01/15 H2,300.98371
1399/01/15 H3,274.297164
1399/01/15 H4,261.010427
1399/01/15 H5,254.452451
1399/01/15 H6,252.094883
1399/01/15 H7,247.544749
1399/01/15 H8,231.937266
1399/01/15 H9,235.033741
1399/01/15 H10,251.75948
1399/01/15 H11,271.748585
1399/01/15 H12,289.228223
1399/01/15 H13,298.060987
1399/01/15 H14,296.215499
1399/01/15 H15,291.18266
1399/01/15 H16,284.638625
1399/01/15 H17,284.65403
1399/01/15 H18,288.908893
1399/01/15 H19,298.156954
1399/01/15 H20,336.266677
1399/01/15 H21,388.004339
1399/01/15 H22,384.772139
1399/01/15 H23,373.035754
1399/01/15 H24,358.308822
1399/01/16 H1,330.342454
1399/01/16 H2,295.371423
1399/01/16 H3,270.451225
1399/01/16 H4,258.253517
1399/01/16 H5,252.351523
1399/01/16 H6,251.699719
1399/01/16 H7,249.982414
1399/01/16 H8,242.791148
1399/01/16 H9,260.030719
1399/01/16 H10,282.717795
1399/01/16 H11,304.744103
1399/01/16 H12,322.382853
1399/01/16 H13,332.30005
1399/01/16 H14,326.798629
1399/01/16 H15,320.05766
1399/01/16 H16,315.545134
1399/01/16 H17,314.363189
1399/01/16 H18,317.749299
1399/01/16 H19,324.662206
1399/01/16 H20,357.796893
1399/01/16 H21,404.816176
1399/01/16 H22,399.558708
1399/01/16 H23,386.651647
1399/01/16 H24,364.923872
1399/01/17 H1,333.186439
1399/01/17 H2,300.293187
1399/01/17 H3,275.765583
1399/01/17 H4,263.813409
1399/01/17 H5,259.189616
1399/01/17 H6,257.847715
1399/01/17 H7,255.517195
1399/01/17 H8,250.041422
1399/01/17 H9,269.582964
1399/01/17 H10,293.561721
1399/01/17 H11,312.65489
1399/01/17 H12,328.790317
1399/01/17 H13,336.368702
1399/01/17 H14,327.501951
1399/01/17 H15,321.222498
1399/01/17 H16,316.222476
1399/01/17 H17,315.019345
1399/01/17 H18,312.019531
1399/01/17 H19,316.492598
1399/01/17 H20,350.283622
1399/01/17 H21,406.899787
1399/01/17 H22,402.874861
1399/01/17 H23,389.146494
1399/01/17 H24,368.780225
1399/01/18 H1,338.464288
1399/01/18 H2,303.595867
1399/01/18 H3,281.335731
1399/01/18 H4,268.25628
1399/01/18 H5,262.423006
1399/01/18 H6,261.521097
