datetime,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019-03-21 03:00:00,78.81,0.0,1.6,1.12,-999.0
2019-03-21 04:00:00,82.38,0.0,2.04,1.36,-999.0
2019-03-21 05:00:00,85.56,0.0,2.52,1.56,-999.0
2019-03-21 06:00:00,80.81,0.0,2.68,1.93,0.48
2019-03-21 07:00:00,67.44,0.0,2.3,2.16,0.66
2019-03-21 08:00:00,56.31,0.0,0.89,1.02,0.71
2019-03-21 09:00:00,50.56,0.0,1.3,1.08,0.73
2019-03-21 10:00:00,48.5,0.0,2.11,1.83,0.76
2019-03-21 11:00:00,47.5,0.0,2.89,2.54,0.73
2019-03-21 12:00:00,46.56,0.0,3.84,3.41,0.71
2019-03-21 13:00:00,45.94,0.0,4.72,4.2,0.54
2019-03-21 14:00:00,46.06,0.0,5.3,4.7,0.6
2019-03-21 15:00:00,48.25,0.0,5.71,5.02,0.55
2019-03-21 16:00:00,54.88,0.0,5.91,4.85,0.54
2019-03-21 17:00:00,73.12,0.0,5.59,3.1,0.43
2019-03-21 18:00:00,81.94,0.0,5.5,2.84,-999.0
2019-03-21 19:00:00,84.56,0.0,4.92,2.65,-999.0
2019-03-21 20:00:00,85.12,0.0,4.16,2.5,-999.0
2019-03-21 21:00:00,82.94,0.0,3.36,2.21,-999.0
2019-03-21 22:00:00,81.12,0.0,2.79,1.94,-999.0
2019-03-21 23:00:00,80.69,0.0,2.44,1.74,-999.0
2019-03-22 00:00:00,82.31,0.0,2.45,1.75,-999.0
2019-03-22 01:00:00,84.94,0.0,2.62,1.84,-999.0
2019-03-22 02:00:00,87.19,0.0,2.78,1.93,-999.0
2019-03-22 03:00:00,88.31,0.0,2.83,1.93,-999.0
2019-03-22 04:00:00,88.25,0.0,2.72,1.86,-999.0
2019-03-22 05:00:00,87.44,0.0,2.53,1.75,-999.0
2019-03-22 06:00:00,81.75,0.0,2.21,1.64,0.56
2019-03-22 07:00:00,64.0,0.0,2.35,1.98,0.73
2019-03-22 08:00:00,47.0,0.0,2.73,2.45,0.79
2019-03-22 09:00:00,40.94,0.0,2.39,2.17,0.81
2019-03-22 10:00:00,37.94,0.0,2.29,2.07,0.8
2019-03-22 11:00:00,36.44,0.0,2.56,2.31,0.8
2019-03-22 12:00:00,35.69,0.0,3.02,2.71,0.77
2019-03-22 13:00:00,35.62,0.0,3.45,3.07,0.78
2019-03-22 14:00:00,36.38,0.0,3.81,3.35,0.75
2019-03-22 15:00:00,38.25,0.0,4.05,3.52,0.66
2019-03-22 16:00:00,46.38,0.0,3.98,3.09,0.61
2019-03-22 17:00:00,68.94,0.0,3.3,2.04,0.45
2019-03-22 18:00:00,64.5,0.0,2.95,2.0,-999.0
2019-03-22 19:00:00,65.12,0.0,3.05,2.08,-999.0
2019-03-22 20:00:00,69.38,0.0,3.52,2.34,-999.0
2019-03-22 21:00:00,74.31,0.0,4.14,2.66,-999.0
2019-03-22 22:00:00,78.88,0.0,4.61,2.88,-999.0
2019-03-22 23:00:00,82.0,0.0,4.75,2.92,-999.0
2019-03-23 00:00:00,83.69,0.0,4.49,2.79,-999.0
2019-03-23 01:00:00,84.81,0.0,4.12,2.63,-999.0
2019-03-23 02:00:00,86.06,0.0,3.77,2.46,-999.0
2019-03-23 03:00:00,86.0,0.0,3.33,2.21,-999.0
2019-03-23 04:00:00,84.62,0.0,2.7,1.86,-999.0
2019-03-23 05:00:00,81.69,0.0,1.94,1.38,-999.0
2019-03-23 06:00:00,80.44,0.0,1.13,0.82,0.48
2019-03-23 07:00:00,70.25,0.0,1.3,1.06,0.69
2019-03-23 08:00:00,55.31,0.0,3.22,2.79,0.76
2019-03-23 09:00:00,49.31,0.0,4.07,3.6,0.76
2019-03-23 10:00:00,44.69,0.0,4.75,4.18,0.8
2019-03-23 11:00:00,41.0,0.0,5.56,4.88,0.77
2019-03-23 12:00:00,38.94,0.0,6.4,5.65,0.77
2019-03-23 13:00:00,38.44,0.0,7.2,6.35,0.69
