YEAR,MO,DY,HR,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019,3,21,3,78.81,0.0,1.6,1.12,-999.0
2019,3,21,4,82.38,0.0,2.04,1.36,-999.0
2019,3,21,5,85.56,0.0,2.52,1.56,-999.0
2019,3,21,6,80.81,0.0,2.68,1.93,0.48
2019,3,21,7,67.44,0.0,2.3,2.16,0.66
2019,3,21,8,56.31,0.0,0.89,1.02,0.71
2019,3,21,9,50.56,0.0,1.3,1.08,0.73
2019,3,21,10,48.5,0.0,2.11,1.83,0.76
2019,3,21,11,47.5,0.0,2.89,2.54,0.73
2019,3,21,12,46.56,0.0,3.84,3.41,0.71
2019,3,21,13,45.94,0.0,4.72,4.2,0.54
2019,3,21,14,46.06,0.0,5.3,4.7,0.6
2019,3,21,15,48.25,0.0,5.71,5.02,0.55
2019,3,21,16,54.88,0.0,5.91,4.85,0.54
2019,3,21,17,73.12,0.0,5.59,3.1,0.43
2019,3,21,18,81.94,0.0,5.5,2.84,-999.0
2019,3,21,19,84.56,0.0,4.92,2.65,-999.0
2019,3,21,20,85.12,0.0,4.16,2.5,-999.0
2019,3,21,21,82.94,0.0,3.36,2.21,-999.0
2019,3,21,22,81.12,0.0,2.79,1.94,-999.0
2019,3,21,23,80.69,0.0,2.44,1.74,-999.0
2019,3,22,0,82.31,0.0,2.45,1.75,-999.0
2019,3,22,1,84.94,0.0,2.62,1.84,-999.0
2019,3,22,2,87.19,0.0,2.78,1.93,-999.0
2019,3,22,3,88.31,0.0,2.83,1.93,-999.0
2019,3,22,4,88.25,0.0,2.72,1.86,-999.0
2019,3,22,5,87.44,0.0,2.53,1.75,-999.0
2019,3,22,6,81.75,0.0,2.21,1.64,0.56
2019,3,22,7,64.0,0.0,2.35,1.98,0.73
2019,3,22,8,47.0,0.0,2.73,2.45,0.79
2019,3,22,9,40.94,0.0,2.39,2.17,0.81
2019,3,22,10,37.94,0.0,2.29,2.07,0.8
2019,3,22,11,36.44,0.0,2.56,2.31,0.8
2019,3,22,12,35.69,0.0,3.02,2.71,0.77
2019,3,22,13,35.62,0.0,3.45,3.07,0.78
2019,3,22,14,36.38,0.0,3.81,3.35,0.75
2019,3,22,15,38.25,0.0,4.05,3.52,0.66
2019,3,22,16,46.38,0.0,3.98,3.09,0.61
2019,3,22,17,68.94,0.0,3.3,2.04,0.45
2019,3,22,18,64.5,0.0,2.95,2.0,-999.0
2019,3,22,19,65.12,0.0,3.05,2.08,-999.0
2019,3,22,20,69.38,0.0,3.52,2.34,-999.0
2019,3,22,21,74.31,0.0,4.14,2.66,-999.0
2019,3,22,22,78.88,0.0,4.61,2.88,-999.0
2019,3,22,23,82.0,0.0,4.75,2.92,-999.0
2019,3,23,0,83.69,0.0,4.49,2.79,-999.0
2019,3,23,1,84.81,0.0,4.12,2.63,-999.0
2019,3,23,2,86.06,0.0,3.77,2.46,-999.0
2019,3,23,3,86.0,0.0,3.33,2.21,-999.0
2019,3,23,4,84.62,0.0,2.7,1.86,-999.0
2019,3,23,5,81.69,0.0,1.94,1.38,-999.0
2019,3,23,6,80.44,0.0,1.13,0.82,0.48
2019,3,23,7,70.25,0.0,1.3,1.06,0.69
2019,3,23,8,55.31,0.0,3.22,2.79,0.76
2019,3,23,9,49.31,0.0,4.07,3.6,0.76
2019,3,23,10,44.69,0.0,4.75,4.18,0.8
2019,3,23,11,41.0,0.0,5.56,4.88,0.77
2019,3,23,12,38.94,0.0,6.4,5.65,0.77
2019,3,23,13,38.44,0.0,7.2,6.35,0.69
2019,3,23,14,39.75,0.0,7.93,6.94,0.71
2019,3,23,15,43.19,0.0,8.36,7.16,0.63
2019,3,23,16,49.5,0.0,8.13,6.52,0.55
2019,3,23,17,67.44,0.0,7.09,3.91,0.4
2019,3,23,18,78.31,0.0,6.26,3.1,-999.0
2019,3,23,19,82.69,0.0,5.43,2.85,-999.0
2019,3,23,20,86.75,0.0,5.26,2.84,-999.0
2019,3,23,21,90.94,0.0,5.53,2.96,-999.0
2019,3,23,22,94.5,0.0,5.4,2.84,-999.0
2019,3,23,23,100.0,0.0,4.95,2.72,-999.0
2019,3,24,0,100.0,0.0,3.92,2.47,-999.0
2019,3,24,1,100.0,0.02,3.37,2.27,-999.0
2019,3,24,2,100.0,0.03,3.76,2.46,-999.0
2019,3,24,3,100.0,0.01,4.27,2.66,-999.0
2019,3,24,4,100.0,0.0,4.55,2.67,-999.0
2019,3,24,5,100.0,0.0,4.35,2.56,-999.0
2019,3,24,6,98.0,0.02,4.31,2.37,0.16
2019,3,24,7,91.19,0.18,3.98,3.11,0.12
2019,3,24,8,90.06,0.49,4.64,4.16,0.09
2019,3,24,9,88.31,0.75,5.69,4.97,0.18
2019,3,24,10,78.06,0.76,7.78,6.29,0.29
2019,3,24,11,68.12,0.38,9.89,7.99,0.18
2019,3,24,12,65.0,0.19,10.05,8.22,0.1
2019,3,24,13,66.88,0.09,8.89,7.31,0.09
2019,3,24,14,73.94,0.1,7.44,6.11,0.1
2019,3,24,15,81.75,0.09,7.0,5.67,0.14
2019,3,24,16,87.81,0.08,6.83,5.16,0.09
2019,3,24,17,91.75,0.06,6.55,4.2,0.14
2019,3,24,18,95.19,0.97,6.2,3.52,-999.0
2019,3,24,19,95.81,1.4,6.2,4.08,-999.0
2019,3,24,20,95.88,1.27,7.12,5.02,-999.0
2019,3,24,21,96.19,0.3,8.18,5.41,-999.0
2019,3,24,22,100.0,0.24,6.9,3.88,-999.0
2019,3,24,23,100.0,1.21,5.7,2.88,-999.0
2019,3,25,0,100.0,3.3,6.25,3.37,-999.0
2019,3,25,1,98.19,3.92,6.96,3.99,-999.0
2019,3,25,2,98.06,1.66,7.76,4.88,-999.0
2019,3,25,3,99.0,0.84,7.21,4.15,-999.0
2019,3,25,4,97.69,2.62,7.04,4.77,-999.0
2019,3,25,5,97.5,2.49,6.05,3.69,-999.0
2019,3,25,6,95.62,0.43,5.8,4.51,0.04
2019,3,25,7,94.88,5.38,5.86,5.0,0.04
2019,3,25,8,95.12,5.58,6.22,5.27,0.05
2019,3,25,9,91.75,2.27,5.83,4.93,0.12
2019,3,25,10,87.81,0.83,6.11,4.71,0.05
2019,3,25,11,80.38,0.25,8.62,6.44,0.09
2019,3,25,12,68.94,0.2,11.86,9.07,0.11
2019,3,25,13,62.31,0.36,14.07,11.11,0.16
2019,3,25,14,61.88,0.48,14.66,11.73,0.25
2019,3,25,15,63.38,0.39,13.79,10.94,0.24
2019,3,25,16,68.38,0.39,12.13,9.21,0.22
2019,3,25,17,80.12,0.19,10.21,6.45,0.34
2019,3,25,18,92.0,0.06,8.77,4.67,-999.0
2019,3,25,19,97.31,0.03,8.03,4.46,-999.0
2019,3,25,20,98.44,0.02,7.43,4.55,-999.0
2019,3,25,21,99.0,0.02,6.7,4.13,-999.0
2019,3,25,22,99.25,0.05,5.33,3.16,-999.0
2019,3,25,23,100.0,0.06,3.89,2.1,-999.0
2019,3,26,0,100.0,0.04,3.05,1.66,-999.0
2019,3,26,1,100.0,0.02,2.39,1.43,-999.0
2019,3,26,2,98.75,0.25,1.25,0.79,-999.0
2019,3,26,3,98.56,0.71,0.56,0.43,-999.0
2019,3,26,4,98.38,0.72,0.67,0.52,-999.0
2019,3,26,5,99.12,0.31,1.67,1.25,-999.0
2019,3,26,6,96.62,0.24,2.41,2.03,0.09
2019,3,26,7,89.56,0.27,2.77,2.57,0.09
2019,3,26,8,78.94,0.25,3.69,3.42,0.07
2019,3,26,9,77.25,0.83,6.19,5.6,0.07
2019,3,26,10,79.44,1.86,6.35,5.67,0.09
2019,3,26,11,82.19,2.17,5.75,5.11,0.09
2019,3,26,12,83.81,1.93,4.83,4.29,0.11
2019,3,26,13,82.25,1.3,3.41,3.08,0.12
2019,3,26,14,78.81,1.13,2.5,2.32,0.3
2019,3,26,15,75.12,1.26,1.77,1.64,0.35
2019,3,26,16,76.38,0.97,1.61,1.35,0.46
2019,3,26,17,87.44,0.6,1.86,1.12,0.33
2019,3,26,18,92.19,0.11,2.94,1.6,-999.0
2019,3,26,19,93.75,0.11,5.25,2.8,-999.0
2019,3,26,20,95.5,0.11,6.89,4.16,-999.0
2019,3,26,21,97.44,0.08,7.76,4.93,-999.0
2019,3,26,22,98.94,0.04,7.81,5.25,-999.0
2019,3,26,23,100.0,0.03,6.89,4.68,-999.0
2019,3,27,0,98.75,0.02,6.94,4.6,-999.0
2019,3,27,1,97.5,0.02,6.98,4.67,-999.0
2019,3,27,2,98.12,0.02,6.99,4.43,-999.0
2019,3,27,3,100.0,0.01,6.88,4.0,-999.0
2019,3,27,4,100.0,0.01,6.91,3.89,-999.0
2019,3,27,5,100.0,0.01,7.09,3.93,-999.0
2019,3,27,6,93.19,0.01,7.55,5.73,0.27
2019,3,27,7,83.69,0.01,9.3,7.7,0.31
2019,3,27,8,73.12,0.02,10.2,8.64,0.42
2019,3,27,9,65.69,0.02,10.01,8.6,0.41
2019,3,27,10,61.31,0.02,9.83,8.5,0.43
2019,3,27,11,58.62,0.03,9.77,8.46,0.5
