YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET
2019,3,21,3,-1.86,-5.1,-3.49
2019,3,21,4,-2.07,-4.77,-3.42
2019,3,21,5,-2.18,-4.42,-3.3
2019,3,21,6,-1.28,-4.2,-2.74
2019,3,21,7,0.46,-4.7,-2.13
2019,3,21,8,2.65,-4.99,-1.17
2019,3,21,9,3.93,-5.2,-0.63
2019,3,21,10,4.76,-5.01,-0.13
2019,3,21,11,5.5,-4.62,0.44
2019,3,21,12,6.13,-4.32,0.9
2019,3,21,13,6.44,-4.23,1.11
2019,3,21,14,6.44,-4.19,1.12
2019,3,21,15,5.9,-4.08,0.91
2019,3,21,16,4.76,-3.44,0.65
2019,3,21,17,2.53,-1.77,0.38
2019,3,21,18,0.69,-2.0,-0.66
2019,3,21,19,-0.33,-2.6,-1.47
2019,3,21,20,-1.31,-3.55,-2.43
2019,3,21,21,-1.81,-4.42,-3.12
2019,3,21,22,-1.99,-4.88,-3.43
2019,3,21,23,-2.08,-5.03,-3.56
2019,3,22,0,-2.37,-5.09,-3.73
2019,3,22,1,-2.78,-5.13,-3.96
2019,3,22,2,-3.16,-5.2,-4.18
2019,3,22,3,-3.4,-5.3,-4.35
2019,3,22,4,-3.51,-5.42,-4.46
2019,3,22,5,-3.52,-5.54,-4.53
2019,3,22,6,-1.81,-4.62,-3.22
2019,3,22,7,0.99,-4.88,-1.95
2019,3,22,8,3.86,-6.17,-1.15
2019,3,22,9,5.58,-6.38,-0.4
2019,3,22,10,7.04,-6.08,0.48
2019,3,22,11,8.3,-5.53,1.39
2019,3,22,12,9.26,-4.98,2.14
2019,3,22,13,9.85,-4.52,2.66
2019,3,22,14,10.0,-4.14,2.93
2019,3,22,15,9.62,-3.81,2.9
2019,3,22,16,8.55,-2.31,3.12
2019,3,22,17,5.73,0.45,3.09
2019,3,22,18,4.52,-1.56,1.48
2019,3,22,19,3.8,-2.1,0.85
2019,3,22,20,2.83,-2.17,0.33
2019,3,22,21,1.73,-2.31,-0.29
2019,3,22,22,0.88,-2.31,-0.72
2019,3,22,23,0.33,-2.33,-1.0
2019,3,23,0,0.01,-2.37,-1.18
2019,3,23,1,-0.31,-2.53,-1.42
2019,3,23,2,-0.57,-2.63,-1.6
2019,3,23,3,-0.58,-2.64,-1.61
2019,3,23,4,-0.42,-2.67,-1.55
2019,3,23,5,0.02,-2.67,-1.32
2019,3,23,6,1.21,-1.76,-0.27
2019,3,23,7,3.37,-1.49,0.94
2019,3,23,8,6.52,-1.75,2.38
2019,3,23,9,7.94,-1.99,2.98
2019,3,23,10,9.3,-2.06,3.62
2019,3,23,11,10.5,-2.13,4.18
2019,3,23,12,11.25,-2.17,4.54
2019,3,23,13,11.48,-2.13,4.68
2019,3,23,14,11.05,-2.06,4.5
2019,3,23,15,10.01,-1.89,4.06
2019,3,23,16,8.58,-1.38,3.6
2019,3,23,17,6.08,0.51,3.3
2019,3,23,18,4.61,1.19,2.9
2019,3,23,19,3.82,1.15,2.49
2019,3,23,20,2.87,0.89,1.88
2019,3,23,21,2.38,1.05,1.71
2019,3,23,22,2.01,1.21,1.61
2019,3,23,23,0.95,1.07,1.01
2019,3,24,0,0.13,1.01,0.57
2019,3,24,1,-0.11,0.89,0.39
2019,3,24,2,-0.7,0.69,-0.0
2019,3,24,3,-1.0,0.44,-0.28
2019,3,24,4,-0.52,0.37,-0.08
2019,3,24,5,-0.18,0.3,0.06
2019,3,24,6,0.83,0.56,0.69
2019,3,24,7,2.34,1.08,1.71
2019,3,24,8,2.66,1.21,1.94
2019,3,24,9,3.29,1.55,2.42
2019,3,24,10,6.33,2.8,4.56
2019,3,24,11,8.8,3.28,6.05
2019,3,24,12,9.57,3.34,6.46
2019,3,24,13,9.67,3.83,6.75
2019,3,24,14,8.89,4.51,6.69
2019,3,24,15,7.88,4.98,6.44
2019,3,24,16,6.9,5.04,5.97
2019,3,24,17,5.93,4.71,5.32
2019,3,24,18,4.92,4.23,4.58
2019,3,24,19,4.62,4.03,4.33
2019,3,24,20,4.49,3.92,4.21
2019,3,24,21,4.67,4.13,4.4
2019,3,24,22,4.08,4.18,4.13
2019,3,24,23,3.44,4.02,3.73
2019,3,25,0,3.77,3.91,3.84
2019,3,25,1,4.0,3.77,3.88
2019,3,25,2,3.87,3.62,3.75
2019,3,25,3,3.4,3.28,3.34
2019,3,25,4,3.12,2.8,2.95
2019,3,25,5,2.48,2.14,2.31
2019,3,25,6,3.02,2.4,2.71
2019,3,25,7,2.83,2.1,2.47
2019,3,25,8,2.08,1.4,1.75
2019,3,25,9,3.33,2.14,2.74
2019,3,25,10,5.79,3.94,4.87
2019,3,25,11,9.43,6.2,7.81
2019,3,25,12,12.11,6.58,9.35
2019,3,25,13,12.86,5.85,9.36
2019,3,25,14,12.16,5.09,8.63
2019,3,25,15,11.19,4.52,7.85
2019,3,25,16,9.85,4.34,7.09
2019,3,25,17,7.6,4.42,6.01
2019,3,25,18,5.21,4.04,4.62
2019,3,25,19,4.2,3.83,4.01
2019,3,25,20,3.68,3.48,3.58
2019,3,25,21,3.21,3.08,3.15
2019,3,25,22,2.87,2.79,2.83
2019,3,25,23,2.39,2.51,2.45
2019,3,26,0,2.21,2.3,2.26
2019,3,26,1,1.94,2.05,1.99
2019,3,26,2,1.86,1.69,1.78
2019,3,26,3,1.49,1.3,1.4
2019,3,26,4,1.12,0.91,1.02
2019,3,26,5,0.7,0.6,0.65
2019,3,26,6,1.3,0.83,1.06
2019,3,26,7,2.82,1.3,2.06
2019,3,26,8,4.78,1.45,3.12
2019,3,26,9,4.63,1.01,2.82
2019,3,26,10,4.05,0.82,2.44
2019,3,26,11,3.69,0.95,2.32
2019,3,26,12,3.39,0.93,2.15
2019,3,26,13,3.69,0.95,2.32
2019,3,26,14,4.35,1.01,2.68
2019,3,26,15,5.12,1.1,3.12
2019,3,26,16,5.09,1.3,3.2
2019,3,26,17,3.8,1.92,2.86
2019,3,26,18,2.35,1.23,1.79
2019,3,26,19,2.06,1.18,1.62
2019,3,26,20,1.58,0.96,1.26
2019,3,26,21,0.98,0.63,0.8
2019,3,26,22,0.51,0.37,0.44
2019,3,26,23,0.07,0.11,0.08
2019,3,27,0,0.02,-0.13,-0.06
2019,3,27,1,-0.0,-0.32,-0.16
2019,3,27,2,-0.39,-0.68,-0.54
2019,3,27,3,-1.25,-1.15,-1.2
2019,3,27,4,-1.81,-1.52,-1.67
2019,3,27,5,-2.04,-1.71,-1.88
2019,3,27,6,-0.2,-1.17,-0.69
2019,3,27,7,1.73,-0.7,0.52
2019,3,27,8,3.76,-0.59,1.58
2019,3,27,9,5.47,-0.42,2.53
2019,3,27,10,6.91,0.01,3.46
2019,3,27,11,8.03,0.43,4.23
2019,3,27,12,8.86,0.73,4.8
2019,3,27,13,9.15,0.93,5.04
2019,3,27,14,8.83,0.94,4.89
2019,3,27,15,8.1,0.86,4.48
2019,3,27,16,6.98,0.95,3.96
2019,3,27,17,5.01,1.51,3.26
2019,3,27,18,3.19,1.53,2.37
2019,3,27,19,2.62,1.52,2.07
2019,3,27,20,2.18,1.47,1.82
2019,3,27,21,1.8,1.31,1.55
2019,3,27,22,1.44,1.12,1.28
2019,3,27,23,1.1,0.9,1.0
2019,3,28,0,0.69,0.58,0.64
2019,3,28,1,0.3,0.33,0.31
2019,3,28,2,0.01,0.1,0.05
2019,3,28,3,-0.13,-0.08,-0.11
2019,3,28,4,-0.13,-0.2,-0.16
2019,3,28,5,-0.15,-0.27,-0.21
2019,3,28,6,0.73,0.08,0.4
2019,3,28,7,2.17,0.37,1.27
2019,3,28,8,3.65,0.25,1.95
2019,3,28,9,4.37,-0.19,2.08
2019,3,28,10,4.88,-0.59,2.15
2019,3,28,11,5.38,-0.78,2.3
2019,3,28,12,5.96,-0.82,2.57
2019,3,28,13,6.03,-0.81,2.62
2019,3,28,14,5.5,-0.58,2.46
2019,3,28,15,4.56,-0.35,2.11
2019,3,28,16,3.5,0.06,1.78
2019,3,28,17,2.32,0.51,1.41
2019,3,28,18,1.28,0.44,0.87
2019,3,28,19,0.94,0.31,0.63
2019,3,28,20,0.48,0.11,0.3
2019,3,28,21,0.11,-0.0,0.05
2019,3,28,22,0.05,0.02,0.03
2019,3,28,23,-0.08,0.05,-0.02
2019,3,29,0,-0.33,-0.1,-0.22
2019,3,29,1,-0.48,-0.35,-0.41
2019,3,29,2,-0.74,-0.67,-0.7
2019,3,29,3,-1.05,-1.13,-1.1
2019,3,29,4,-1.49,-1.46,-1.48
2019,3,29,5,-1.89,-1.75,-1.82
2019,3,29,6,-0.42,-1.33,-0.88
2019,3,29,7,1.5,-0.81,0.34
2019,3,29,8,4.13,-0.67,1.73
2019,3,29,9,6.52,-0.6,2.96
2019,3,29,10,8.34,-0.38,3.98
2019,3,29,11,9.76,-0.24,4.76
2019,3,29,12,10.44,-0.42,5.01
2019,3,29,13,10.46,-0.57,4.94
2019,3,29,14,10.01,-0.59,4.72
2019,3,29,15,9.06,-0.24,4.4
2019,3,29,16,7.43,0.74,4.08
2019,3,29,17,5.55,2.24,3.89
2019,3,29,18,4.42,2.83,3.62
2019,3,29,19,3.61,2.55,3.08
2019,3,29,20,3.16,2.26,2.71
2019,3,29,21,2.55,1.91,2.23
2019,3,29,22,2.2,1.86,2.03
2019,3,29,23,1.91,1.84,1.87
2019,3,30,0,2.07,1.88,1.98
2019,3,30,1,2.3,1.93,2.12
2019,3,30,2,2.32,1.93,2.12
2019,3,30,3,2.03,1.82,1.92
2019,3,30,4,1.52,1.59,1.55
2019,3,30,5,1.24,1.31,1.27
2019,3,30,6,2.3,1.3,1.8
2019,3,30,7,4.59,1.71,3.15
2019,3,30,8,7.31,1.91,4.61
2019,3,30,9,7.29,2.01,4.65
2019,3,30,10,7.56,2.52,5.04
2019,3,30,11,9.05,2.98,6.01
2019,3,30,12,10.29,2.87,6.58
2019,3,30,13,11.51,2.85,7.18
2019,3,30,14,12.07,2.87,7.47
2019,3,30,15,11.83,3.2,7.51
2019,3,30,16,10.92,4.15,7.54
2019,3,30,17,8.47,5.36,6.91
2019,3,30,18,6.76,4.82,5.79
2019,3,30,19,5.91,4.51,5.22
2019,3,30,20,4.7,3.87,4.29
2019,3,30,21,3.2,3.15,3.17
2019,3,30,22,2.41,2.65,2.53
2019,3,30,23,1.98,2.25,2.12
2019,3,31,0,1.57,1.96,1.76
2019,3,31,1,1.89,1.97,1.93
2019,3,31,2,2.27,2.1,2.19
2019,3,31,3,2.48,2.19,2.33
2019,3,31,4,2.66,2.25,2.45
2019,3,31,5,2.77,2.36,2.56
