datetime,T2M,T2MDEW,T2MWET,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT,Load
2019-03-21 03:00:00,-1.86,-5.1,-3.49,78.81,0.0,1.6,1.12,-999.0,258.110368
2019-03-21 04:00:00,-2.07,-4.77,-3.42,82.38,0.0,2.04,1.36,-999.0,247.745866
2019-03-21 05:00:00,-2.18,-4.42,-3.3,85.56,0.0,2.52,1.56,-999.0,244.271208
2019-03-21 06:00:00,-1.28,-4.2,-2.74,80.81,0.0,2.68,1.93,0.48,229.100717
2019-03-21 07:00:00,0.46,-4.7,-2.13,67.44,0.0,2.3,2.16,0.66,233.132818
2019-03-21 08:00:00,2.65,-4.99,-1.17,56.31,0.0,0.89,1.02,0.71,246.405548
2019-03-21 09:00:00,3.93,-5.2,-0.63,50.56,0.0,1.3,1.08,0.73,258.188064
2019-03-21 10:00:00,4.76,-5.01,-0.13,48.5,0.0,2.11,1.83,0.76,261.906256
2019-03-21 11:00:00,5.5,-4.62,0.44,47.5,0.0,2.89,2.54,0.73,261.363531
2019-03-21 12:00:00,6.13,-4.32,0.9,46.56,0.0,3.84,3.41,0.71,262.102739
2019-03-21 13:00:00,6.44,-4.23,1.11,45.94,0.0,4.72,4.2,0.54,258.465243
2019-03-21 14:00:00,6.44,-4.19,1.12,46.06,0.0,5.3,4.7,0.6,253.590533
2019-03-21 15:00:00,5.9,-4.08,0.91,48.25,0.0,5.71,5.02,0.55,250.881819
2019-03-21 16:00:00,4.76,-3.44,0.65,54.88,0.0,5.91,4.85,0.54,252.478455
2019-03-21 17:00:00,2.53,-1.77,0.38,73.12,0.0,5.59,3.1,0.43,262.677871
2019-03-21 18:00:00,0.69,-2.0,-0.66,81.94,0.0,5.5,2.84,-999.0,308.342879
2019-03-21 19:00:00,-0.33,-2.6,-1.47,84.56,0.0,4.92,2.65,-999.0,353.425668
2019-03-21 20:00:00,-1.31,-3.55,-2.43,85.12,0.0,4.16,2.5,-999.0,349.657782
2019-03-21 21:00:00,-1.81,-4.42,-3.12,82.94,0.0,3.36,2.21,-999.0,340.482388
2019-03-21 22:00:00,-1.99,-4.88,-3.43,81.12,0.0,2.79,1.94,-999.0,328.756546
2019-03-21 23:00:00,-2.08,-5.03,-3.56,80.69,0.0,2.44,1.74,-999.0,312.98378
2019-03-22 00:00:00,-2.37,-5.09,-3.73,82.31,0.0,2.45,1.75,-999.0,0.0
2019-03-22 01:00:00,-2.78,-5.13,-3.96,84.94,0.0,2.62,1.84,-999.0,284.991214
2019-03-22 02:00:00,-3.16,-5.2,-4.18,87.19,0.0,2.78,1.93,-999.0,258.781497
2019-03-22 03:00:00,-3.4,-5.3,-4.35,88.31,0.0,2.83,1.93,-999.0,244.201686
2019-03-22 04:00:00,-3.51,-5.42,-4.46,88.25,0.0,2.72,1.86,-999.0,237.131604
2019-03-22 05:00:00,-3.52,-5.54,-4.53,87.44,0.0,2.53,1.75,-999.0,234.919885
2019-03-22 06:00:00,-1.81,-4.62,-3.22,81.75,0.0,2.21,1.64,0.56,234.144943
2019-03-22 07:00:00,0.99,-4.88,-1.95,64.0,0.0,2.35,1.98,0.73,220.021133
2019-03-22 08:00:00,3.86,-6.17,-1.15,47.0,0.0,2.73,2.45,0.79,222.203885
2019-03-22 09:00:00,5.58,-6.38,-0.4,40.94,0.0,2.39,2.17,0.81,236.920033
2019-03-22 10:00:00,7.04,-6.08,0.48,37.94,0.0,2.29,2.07,0.8,254.979103
2019-03-22 11:00:00,8.3,-5.53,1.39,36.44,0.0,2.56,2.31,0.8,261.972229
2019-03-22 12:00:00,9.26,-4.98,2.14,35.69,0.0,3.02,2.71,0.77,261.966304
2019-03-22 13:00:00,9.85,-4.52,2.66,35.62,0.0,3.45,3.07,0.78,260.572373
2019-03-22 14:00:00,10.0,-4.14,2.93,36.38,0.0,3.81,3.35,0.75,256.31426
2019-03-22 15:00:00,9.62,-3.81,2.9,38.25,0.0,4.05,3.52,0.66,250.744197
2019-03-22 16:00:00,8.55,-2.31,3.12,46.38,0.0,3.98,3.09,0.61,249.091429
2019-03-22 17:00:00,5.73,0.45,3.09,68.94,0.0,3.3,2.04,0.45,252.487166
2019-03-22 18:00:00,4.52,-1.56,1.48,64.5,0.0,2.95,2.0,-999.0,264.45497
2019-03-22 19:00:00,3.8,-2.1,0.85,65.12,0.0,3.05,2.08,-999.0,310.706994
2019-03-22 20:00:00,2.83,-2.17,0.33,69.38,0.0,3.52,2.34,-999.0,354.066277
2019-03-22 21:00:00,1.73,-2.31,-0.29,74.31,0.0,4.14,2.66,-999.0,346.597626
2019-03-22 22:00:00,0.88,-2.31,-0.72,78.88,0.0,4.61,2.88,-999.0,336.44796
2019-03-22 23:00:00,0.33,-2.33,-1.0,82.0,0.0,4.75,2.92,-999.0,326.021982
2019-03-23 00:00:00,0.01,-2.37,-1.18,83.69,0.0,4.49,2.79,-999.0,310.241183
2019-03-23 01:00:00,-0.31,-2.53,-1.42,84.81,0.0,4.12,2.63,-999.0,281.797067
2019-03-23 02:00:00,-0.57,-2.63,-1.6,86.06,0.0,3.77,2.46,-999.0,255.97735
2019-03-23 03:00:00,-0.58,-2.64,-1.61,86.0,0.0,3.33,2.21,-999.0,243.037231
2019-03-23 04:00:00,-0.42,-2.67,-1.55,84.62,0.0,2.7,1.86,-999.0,236.271827
2019-03-23 05:00:00,0.02,-2.67,-1.32,81.69,0.0,1.94,1.38,-999.0,234.160872
2019-03-23 06:00:00,1.21,-1.76,-0.27,80.44,0.0,1.13,0.82,0.48,232.413832
2019-03-23 07:00:00,3.37,-1.49,0.94,70.25,0.0,1.3,1.06,0.69,218.514343
2019-03-23 08:00:00,6.52,-1.75,2.38,55.31,0.0,3.22,2.79,0.76,224.026956
2019-03-23 09:00:00,7.94,-1.99,2.98,49.31,0.0,4.07,3.6,0.76,240.113514
2019-03-23 10:00:00,9.3,-2.06,3.62,44.69,0.0,4.75,4.18,0.8,260.183256
2019-03-23 11:00:00,10.5,-2.13,4.18,41.0,0.0,5.56,4.88,0.77,268.992421
2019-03-23 12:00:00,11.25,-2.17,4.54,38.94,0.0,6.4,5.65,0.77,268.803404
2019-03-23 13:00:00,11.48,-2.13,4.68,38.44,0.0,7.2,6.35,0.69,265.408186
2019-03-23 14:00:00,11.05,-2.06,4.5,39.75,0.0,7.93,6.94,0.71,259.367808
2019-03-23 15:00:00,10.01,-1.89,4.06,43.19,0.0,8.36,7.16,0.63,255.651294
2019-03-23 16:00:00,8.58,-1.38,3.6,49.5,0.0,8.13,6.52,0.55,253.273385
2019-03-23 17:00:00,6.08,0.51,3.3,67.44,0.0,7.09,3.91,0.4,256.929455
2019-03-23 18:00:00,4.61,1.19,2.9,78.31,0.0,6.26,3.1,-999.0,270.384272
2019-03-23 19:00:00,3.82,1.15,2.49,82.69,0.0,5.43,2.85,-999.0,317.474067
2019-03-23 20:00:00,2.87,0.89,1.88,86.75,0.0,5.26,2.84,-999.0,357.283295
2019-03-23 21:00:00,2.38,1.05,1.71,90.94,0.0,5.53,2.96,-999.0,347.970499
2019-03-23 22:00:00,2.01,1.21,1.61,94.5,0.0,5.4,2.84,-999.0,338.24281
2019-03-23 23:00:00,0.95,1.07,1.01,100.0,0.0,4.95,2.72,-999.0,327.67467
2019-03-24 00:00:00,0.13,1.01,0.57,100.0,0.0,3.92,2.47,-999.0,311.458844
2019-03-24 01:00:00,-0.11,0.89,0.39,100.0,0.02,3.37,2.27,-999.0,283.47691
2019-03-24 02:00:00,-0.7,0.69,-0.0,100.0,0.03,3.76,2.46,-999.0,258.636929
2019-03-24 03:00:00,-1.0,0.44,-0.28,100.0,0.01,4.27,2.66,-999.0,243.928005
2019-03-24 04:00:00,-0.52,0.37,-0.08,100.0,0.0,4.55,2.67,-999.0,238.417778
2019-03-24 05:00:00,-0.18,0.3,0.06,100.0,0.0,4.35,2.56,-999.0,236.886554
2019-03-24 06:00:00,0.83,0.56,0.69,98.0,0.02,4.31,2.37,0.16,235.979316
2019-03-24 07:00:00,2.34,1.08,1.71,91.19,0.18,3.98,3.11,0.12,222.913645
2019-03-24 08:00:00,2.66,1.21,1.94,90.06,0.49,4.64,4.16,0.09,227.339532
2019-03-24 09:00:00,3.29,1.55,2.42,88.31,0.75,5.69,4.97,0.18,244.306163
2019-03-24 10:00:00,6.33,2.8,4.56,78.06,0.76,7.78,6.29,0.29,269.913512
2019-03-24 11:00:00,8.8,3.28,6.05,68.12,0.38,9.89,7.99,0.18,286.946469
2019-03-24 12:00:00,9.57,3.34,6.46,65.0,0.19,10.05,8.22,0.1,291.923842
2019-03-24 13:00:00,9.67,3.83,6.75,66.88,0.09,8.89,7.31,0.09,291.996374
2019-03-24 14:00:00,8.89,4.51,6.69,73.94,0.1,7.44,6.11,0.1,285.399213
2019-03-24 15:00:00,7.88,4.98,6.44,81.75,0.09,7.0,5.67,0.14,280.544224
2019-03-24 16:00:00,6.9,5.04,5.97,87.81,0.08,6.83,5.16,0.09,282.742092
2019-03-24 17:00:00,5.93,4.71,5.32,91.75,0.06,6.55,4.2,0.14,291.741434
2019-03-24 18:00:00,4.92,4.23,4.58,95.19,0.97,6.2,3.52,-999.0,311.757173
2019-03-24 19:00:00,4.62,4.03,4.33,95.81,1.4,6.2,4.08,-999.0,343.890172
2019-03-24 20:00:00,4.49,3.92,4.21,95.88,1.27,7.12,5.02,-999.0,363.898218
2019-03-24 21:00:00,4.67,4.13,4.4,96.19,0.3,8.18,5.41,-999.0,353.010112
2019-03-24 22:00:00,4.08,4.18,4.13,100.0,0.24,6.9,3.88,-999.0,342.976597
2019-03-24 23:00:00,3.44,4.02,3.73,100.0,1.21,5.7,2.88,-999.0,332.842889
2019-03-25 00:00:00,3.77,3.91,3.84,100.0,3.3,6.25,3.37,-999.0,314.235775
2019-03-25 01:00:00,4.0,3.77,3.88,98.19,3.92,6.96,3.99,-999.0,285.86069
2019-03-25 02:00:00,3.87,3.62,3.75,98.06,1.66,7.76,4.88,-999.0,260.59664
2019-03-25 03:00:00,3.4,3.28,3.34,99.0,0.84,7.21,4.15,-999.0,248.229472
2019-03-25 04:00:00,3.12,2.8,2.95,97.69,2.62,7.04,4.77,-999.0,242.115198
2019-03-25 05:00:00,2.48,2.14,2.31,97.5,2.49,6.05,3.69,-999.0,239.13918
2019-03-25 06:00:00,3.02,2.4,2.71,95.62,0.43,5.8,4.51,0.04,238.921322
2019-03-25 07:00:00,2.83,2.1,2.47,94.88,5.38,5.86,5.0,0.04,228.685848
2019-03-25 08:00:00,2.08,1.4,1.75,95.12,5.58,6.22,5.27,0.05,234.86511
2019-03-25 09:00:00,3.33,2.14,2.74,91.75,2.27,5.83,4.93,0.12,252.853115
2019-03-25 10:00:00,5.79,3.94,4.87,87.81,0.83,6.11,4.71,0.05,278.078945
2019-03-25 11:00:00,9.43,6.2,7.81,80.38,0.25,8.62,6.44,0.09,299.076835
2019-03-25 12:00:00,12.11,6.58,9.35,68.94,0.2,11.86,9.07,0.11,308.547583
2019-03-25 13:00:00,12.86,5.85,9.36,62.31,0.36,14.07,11.11,0.16,309.733685
