datetime,Load,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,ALLSKY_SFC_LW_DWN
2019-03-21 00:00:00,352.862799,2.99,76.19,0.0,80.8,1.27,359.29,1.75,359.49,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.26,-5.93,-4.1,215.83
2019-03-21 01:00:00,330.444853,3.05,76.25,0.0,80.78,1.03,350.39,1.43,350.23,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.89,-5.54,-3.71,227.12
2019-03-21 02:00:00,287.419792,3.11,76.88,0.0,80.77,0.99,343.99,1.37,343.83,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.77,-5.31,-3.54,225.75
2019-03-21 03:00:00,258.110368,3.17,78.81,0.0,80.76,1.12,343.84,1.6,343.86,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.86,-5.1,-3.49,235.23
2019-03-21 04:00:00,247.745866,3.3,82.38,0.0,80.75,1.36,350.43,2.04,350.54,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.07,-4.77,-3.42,234.45
2019-03-21 05:00:00,244.271208,3.36,85.56,0.0,80.76,1.56,358.57,2.52,358.58,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.18,-4.42,-3.3,232.52
2019-03-21 06:00:00,229.100717,3.42,80.81,0.0,80.79,1.93,6.98,2.68,6.88,89.09,103.45,182.6,0.18,82.35,34.67,39.88,3.8,0.01,0.05,-1.28,-4.2,-2.74,231.67
2019-03-21 07:00:00,233.132818,3.3,67.44,0.0,80.83,2.16,15.49,2.3,15.36,303.19,329.17,462.83,0.19,70.28,124.58,136.88,14.98,0.12,0.58,0.46,-4.7,-2.13,232.42
2019-03-21 08:00:00,246.405548,3.23,56.31,0.0,80.86,1.02,2.62,0.89,349.88,505.13,548.7,713.52,0.2,58.65,213.42,232.25,28.12,0.41,2.1,2.65,-4.99,-1.17,249.9
2019-03-21 09:00:00,258.188064,3.17,50.56,0.0,80.86,1.08,282.93,1.3,273.1,673.48,733.77,915.7,0.2,48.11,287.35,312.6,39.47,0.8,3.95,3.93,-5.2,-0.63,252.25
2019-03-21 10:00:00,261.906256,3.23,48.5,0.0,80.85,1.83,279.1,2.11,272.33,797.32,864.58,1055.58,0.19,39.68,345.3,369.83,48.54,1.18,5.92,4.76,-5.01,-0.13,278.2
2019-03-21 11:00:00,261.363531,3.3,47.5,0.0,80.83,2.54,280.45,2.89,274.49,817.39,907.83,1123.62,0.19,34.98,353.67,386.33,48.98,1.27,6.35,5.5,-4.62,0.44,284.17
2019-03-21 12:00:00,262.102739,3.42,46.56,0.0,80.8,3.41,283.11,3.84,277.95,795.71,905.55,1115.25,0.22,35.59,347.48,386.85,48.45,1.25,6.3,6.13,-4.32,0.9,296.73
2019-03-21 13:00:00,258.465243,3.42,45.94,0.0,80.77,4.2,287.53,4.72,283.09,555.42,813.0,1031.0,0.17,41.26,239.5,345.48,33.43,0.79,3.95,6.44,-4.23,1.11,317.9
2019-03-21 14:00:00,253.590533,3.42,46.06,0.0,80.75,4.7,293.92,5.3,289.98,527.55,673.27,876.67,0.18,50.27,229.5,285.58,31.31,0.61,3.02,6.44,-4.19,1.12,306.62
2019-03-21 15:00:00,250.881819,3.48,48.25,0.0,80.77,5.02,304.73,5.71,301.45,361.87,480.4,662.77,0.17,61.1,154.73,201.98,20.41,0.28,1.4,5.9,-4.08,0.91,295.23
2019-03-21 16:00:00,252.478455,3.66,54.88,0.0,80.82,4.85,320.69,5.91,319.51,216.77,269.65,403.92,0.23,72.88,88.48,111.67,10.47,0.07,0.35,4.76,-3.44,0.65,274.98
2019-03-21 17:00:00,262.677871,4.15,73.12,0.0,80.89,3.1,342.98,5.59,343.34,51.2,54.73,119.25,0.22,85.02,18.25,20.42,2.22,0.01,0.02,2.53,-1.77,0.38,249.77
2019-03-21 18:00:00,308.342879,4.03,81.94,0.0,80.94,2.84,357.32,5.5,356.99,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.69,-2.0,-0.66,246.45
2019-03-21 19:00:00,353.425668,3.85,84.56,0.0,80.98,2.65,3.89,4.92,3.64,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-0.33,-2.6,-1.47,241.02
2019-03-21 20:00:00,349.657782,3.6,85.12,0.0,81.01,2.5,5.92,4.16,5.94,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.31,-3.55,-2.43,233.67
2019-03-21 21:00:00,340.482388,3.36,82.94,0.0,81.01,2.21,3.45,3.36,3.47,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.81,-4.42,-3.12,225.38
2019-03-21 22:00:00,328.756546,3.23,81.12,0.0,80.98,1.94,353.05,2.79,353.07,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-1.99,-4.88,-3.43,221.42
2019-03-21 23:00:00,312.98378,3.17,80.69,0.0,80.96,1.74,338.15,2.44,337.96,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.08,-5.03,-3.56,217.45
2019-03-22 00:00:00,0.0,3.17,82.31,0.0,80.95,1.75,327.23,2.45,327.22,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-2.37,-5.09,-3.73,210.77
